KAB_KOTA,KOMPOSIT,NCPR,KEMISKINAN(%),PENGELUARAN_PANGAN(%),TANPA_LISTRIK(%),TANPA_AIR_BERSIH(%),Lama_Sekolah_Perempuan_(tahun),Rasio_Tenaga_Kesehatan,Angka_Harapan_Hidup_(tahun),Stunting_(%),IKP,IKP_Ranking,INDIKATOR
SAMBAS,5,0.72,8.55,29.54,1.85,91.08,6.12,5.01,68.5,38.95,67.98,305,Rentan
SAMOSIR,5,0.54,13.38,61.97,0.68,59.01,9.07,4.24,70.87,24.37,73.65,237,Agak Rentan
SAMPANG,5,0.66,21.21,70.62,0.23,23.58,5.02,0.64,67.79,47.93,69.58,286,Rentan
SANGGAU,5,1.29,4.67,15.32,10.61,54.3,6.74,14.55,71.05,31.88,73.63,238,Agak Rentan
SARMI,1,5,14.51,35.45,14.79,55.9,8.36,100,66,19.03,40.69,394,Sangat Rentan
SAROLANGUN,5,2.09,8.73,28.08,4.61,49.63,7.74,5.89,68.94,18.83,68.48,301,Rentan
SEKADAU,5,1.34,6.17,43.89,17.85,57.47,6.16,8.45,71.24,28.67,69.78,284,Rentan
SELUMA,4,0.81,19.6,32.95,3.67,66.46,7.97,2.92,67.14,35.9,67.55,308,Rentan
SEMARANG,6,0.85,7.29,15.77,0,15.7,7.9,0.6,75.62,24.86,85.94,12,Sangat Tahan
SERAM BAGIAN BARAT,4,2.06,25.62,22.21,10.04,38.3,9.14,6.67,61.2,33.6,60.5,341,Sangat Rentan
SERAM BAGIAN TIMUR,3,2.78,23.62,36.69,16.88,43.98,8.14,6.12,58.84,40.56,52.16,368,Sangat Rentan
SERANG,6,0.64,4.3,42.56,0.49,29.69,7.26,1.5,64.22,32.04,77.95,153,Tahan
SERDANG BEDAGAI,6,0.26,8.22,40.16,0.51,31.46,8.71,1.43,68.08,35.99,80.95,91,Tahan
SERUYAN,4,3.15,7.43,20.78,1.46,20.83,7.62,24.3,69.24,21.85,66.66,317,Rentan
SIAK,6,2.26,5.44,14.86,1.55,16.05,9.56,7.7,70.79,20.96,76.6,183,Agak Rentan
SIDENRENG RAPPANG,6,0.1,5.16,27.12,0.24,30.55,8.02,2.42,69.15,31.7,84.64,19,Sangat Tahan
SIDOARJO,6,1.68,5.69,14.03,0.09,13.59,9.93,0.09,73.82,27.05,82.05,66,Sangat Tahan
SIGI,6,0.26,12.6,31.51,7.93,47.56,8.48,5.69,69.15,43,76.56,187,Agak Rentan
SIJUNJUNG,6,0.72,7.11,35.67,3.54,29.8,8.11,6.48,65.69,35,77.35,167,Agak Rentan
SIKKA,5,0.73,13.82,36.16,17.27,27.2,6.86,2.17,66.61,32.97,74.32,229,Agak Rentan
SIMALUNGUN,6,0.38,9.31,39.27,0.44,40.42,9.31,1.64,70.75,28.43,80.6,98,Tahan
SIMEULUE,5,0.82,19.78,50.05,1.43,29.35,8.9,2.28,65,47.31,70.59,275,Rentan
SINJAI,6,0.33,9.28,18.63,4.38,26.79,7.64,0.62,66.83,42.22,80.67,94,Tahan
SINTANG,4,2.88,10.35,19.44,16.21,50.93,6.75,28.08,71.29,33.15,60.93,339,Sangat Rentan
SITUBONDO,5,0.51,11.82,51.53,0,39.57,6.11,1.51,68.73,30.66,75.34,207,Agak Rentan
SLEMAN,6,1.47,7.65,12.94,0,20.68,10.53,0.09,74.69,14.69,83.34,40,Sangat Tahan
SOLOK,6,0.4,8.88,46.2,2.7,30.14,8.39,3.95,67.95,41.46,78.6,143,Tahan
SOLOK SELATAN,6,0.37,7.07,30.87,1.64,39.64,8.57,5.49,67.21,27.72,80.13,108,Tahan
SOPPENG,6,0.13,7.5,25.44,1.4,29.34,7.87,2.43,69.02,35.54,83.39,38,Sangat Tahan
SORONG,4,1.67,30.19,27.2,3.76,50.06,8.3,16.41,65.71,32.31,60.64,340,Sangat Rentan
SORONG SELATAN,2,5,19.14,32.24,13.09,54.3,8.06,16.63,65.83,39.61,41.9,391,Sangat Rentan
SRAGEN,6,0.27,13.12,27.8,0.24,21.13,7.22,0.37,75.6,33.16,84.52,21,Sangat Tahan
SUBANG,6,0.29,8.67,39.22,0,32.9,6.84,0.88,71.92,28.64,81.81,69,Sangat Tahan
SUKABUMI,5,0.75,6.76,52.99,0.35,49.3,7.05,1.18,70.49,41.35,74.5,228,Agak Rentan
SUKAMARA,5,3.12,3.19,19,1.25,19.02,7.69,13.95,71.45,24.91,70.06,283,Rentan
SUKOHARJO,6,0.45,7.41,23,0.19,20.26,8.91,0.15,77.54,31.32,87.89,4,Sangat Tahan
SUMBA BARAT,4,0.38,28.51,54.45,27.55,46.45,6.67,2.4,66.58,47.77,64.67,325,Rentan
SUMBA BARAT DAYA,3,0.6,28.88,68.7,40.85,86.32,6.11,2.89,68.02,39.98,55.89,360,Sangat Rentan
SUMBA TENGAH,4,0.53,34.85,64.38,27.67,48.97,6.88,6.62,67.96,45.43,60.98,337,Sangat Rentan
SUMBA TIMUR,4,0.52,30.13,50.36,10.19,43.26,6.93,8.83,64.45,39.26,64.89,323,Rentan
SUMBAWA,6,0.2,14.08,37.25,0.8,21.6,7.9,2.7,66.9,31.53,80.23,105,Tahan
SUMBAWA BARAT,6,0.33,14.17,40.03,0,12.23,8.2,2.64,67.34,18.32,82.17,65,Sangat Tahan
SUMEDANG,6,0.48,9.76,31.62,0.15,31.34,8.37,0.89,72.14,32.22,81.73,71,Sangat Tahan
SUMENEP,5,0.57,20.16,51.55,0.28,21.93,5.26,0.97,70.94,34.33,74.9,218,Agak Rentan
SUPIORI,1,5,39.22,33.22,3.42,68.57,8.06,3.36,65.53,35.05,34.01,400,Sangat Rentan
TABALONG,6,0.73,5.95,29.66,0.28,30.4,8.48,5.44,70.12,39.61,80.2,107,Tahan
TABANAN,6,0.44,4.46,14.76,0,11.16,8.2,0.44,73.23,16.15,90.05,1,FALSE
TAKALAR,6,0.33,9,16.25,0,18.63,7.41,0.87,66.64,40.57,82.49,57,Sangat Tahan
TAMBRAUW,1,3.54,34.59,62.87,11.01,70.95,8.62,68.53,59.56,41.5,35.14,399,Sangat Rentan
TANA TIDUNG,5,1.99,5.08,8.61,1.79,38.17,8.07,17.48,71.35,37.57,73.11,243,Agak Rentan
TANA TORAJA,6,0.43,12.75,29.86,4.66,51.47,8.27,2.87,72.8,46.98,76.59,185,Agak Rentan
TANAH BUMBU,6,0.95,4.88,14.95,0.58,26.17,7.74,3.82,69.74,28.55,81.45,81,Tahan
TANAH DATAR,6,0.29,5.32,36.62,1.04,19.86,8.76,1.74,69.38,26.27,85.22,14,Sangat Tahan
TANAH LAUT,6,0.39,4.4,23.24,0.69,42.52,7.37,3.84,69.08,33.23,81,90,Tahan
TANGERANG,5,2.19,5.18,21.98,0,16.45,8.18,0.26,69.61,23.23,75.54,202,Agak Rentan
TANGGAMUS,6,0.77,12.48,28.17,0.43,34.33,7.32,1.44,68.04,29.87,76.55,188,Agak Rentan
TANJUNG JABUNG BARAT,5,0.9,11.1,41.64,6.81,61.18,7.87,4.07,67.87,43.99,69.54,288,Rentan
TANJUNG JABUNG TIMUR,5,0.51,12.38,33.88,2.59,74.25,6.68,6.41,65.86,40.89,68.96,294,Rentan
TAPANULI SELATAN,5,0.52,9.16,59.05,5.61,44.8,8.77,8.33,64.55,28.76,73.81,233,Agak Rentan
TAPANULI TENGAH,4,1.56,13.17,56.09,6.31,53.43,8.24,2.04,66.82,43.69,64.71,324,Rentan
TAPANULI UTARA,6,0.43,9.75,58.82,1.2,44.61,9.53,2.62,68.11,38.26,75.99,199,Agak Rentan
TAPIN,6,0.23,3.7,29.62,0.79,35.3,7.62,2.84,69.98,36.04,83.16,42,Sangat Tahan
TASIKMALAYA,5,0.52,9.85,58.3,0.07,51.69,7.31,1.19,68.96,33.8,74.11,231,Agak Rentan
TEBO,5,1.53,6.58,31.69,3.48,38.09,7.58,10.06,69.77,33.03,73.19,241,Agak Rentan
TEGAL,6,1.26,7.94,33.93,0,24.5,6.82,0.26,71.28,30.59,77.46,165,Agak Rentan
TELUK BINTUNI,1,5,31.3,24.57,4.33,32.14,8.93,8.09,60.15,28.54,41.47,392,Sangat Rentan
TELUK WONDAMA,1,5,33.32,57.46,20.28,68.75,8.88,86.68,59.53,25.27,27.34,403,Sangat Rentan
TEMANGGUNG,6,1.12,9.87,22.25,0.12,23.19,7.16,0.57,75.47,30.26,80.76,93,Tahan
TIMOR TENGAH SELATAN,4,0.58,28.06,58.47,40.32,45.99,6.39,8.79,65.91,55.96,60.97,338,Sangat Rentan
TIMOR TENGAH UTARA,5,0.5,22.31,62.31,22.4,14.55,7.52,2.65,66.45,56.76,70.49,277,Rentan
